n_neighbors,min_cluster_size,min_samples,cluster_selection_method,reduce_nr,n_seeds,K,outlier_pre,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
10,30,5.0,eom,20,1,19.0,0.1741,0.1741,0.588,0.9263,0.8009,0.9804,,
10,30,5.0,eom,25,1,24.0,0.1741,0.1741,0.6085,0.9125,0.7736,0.9843,,
10,30,5.0,eom,30,1,29.0,0.1741,0.1741,0.6162,0.9069,0.7394,0.9871,,
10,30,5.0,leaf,10,1,9.0,0.3555,0.3555,0.7188,0.9667,0.8966,0.9639,,
10,30,5.0,leaf,15,1,14.0,0.3555,0.3555,0.6189,0.9464,0.8695,0.9802,,
10,30,5.0,leaf,20,1,19.0,0.3555,0.3555,0.6667,0.9184,0.812,0.9851,,
10,30,5.0,leaf,25,1,24.0,0.3555,0.3555,0.636,0.9021,0.7711,0.9883,,
10,30,5.0,leaf,30,1,29.0,0.3555,0.3555,0.6376,0.8793,0.7178,0.9903,,
10,30,15.0,eom,10,1,9.0,0.1194,0.1194,0.7595,0.9667,0.9045,0.9467,,
10,30,15.0,eom,15,1,14.0,0.1194,0.1194,0.6438,0.95,0.8648,0.9671,,
10,30,15.0,eom,20,1,19.0,0.1194,0.1194,0.6534,0.9289,0.7964,0.9766,,
10,30,15.0,eom,25,1,24.0,0.1194,0.1194,0.6293,0.9167,0.7758,0.9836,,
10,30,15.0,eom,30,1,29.0,0.1194,0.1194,0.6641,0.8845,0.7256,0.9861,,
10,30,15.0,leaf,10,1,9.0,0.3948,0.3948,0.6946,0.9667,0.9043,0.9675,,
10,30,15.0,leaf,15,1,14.0,0.3948,0.3948,0.6017,0.9393,0.8639,0.9815,,
10,30,15.0,leaf,20,1,19.0,0.3948,0.3948,0.5632,0.9316,0.817,0.987,,
10,30,15.0,leaf,25,1,24.0,0.3948,0.3948,0.601,0.9208,0.794,0.9895,,
10,30,15.0,leaf,30,1,29.0,0.3948,0.3948,0.6287,0.8914,0.7381,0.9911,,
10,30,,eom,10,1,9.0,0.116,0.116,0.7604,0.9778,0.9146,0.9561,,
10,30,,eom,15,1,14.0,0.116,0.116,0.7373,0.9464,0.8644,0.9676,,
10,30,,eom,20,1,19.0,0.116,0.116,0.6367,0.9368,0.8077,0.9787,,
10,30,,eom,25,1,24.0,0.116,0.116,0.636,0.9167,0.777,0.9832,,
10,30,,eom,30,1,29.0,0.116,0.116,,0.8931,0.7347,0.9864,,
10,30,,leaf,10,1,9.0,0.4081,0.4081,0.6615,0.9778,0.9197,0.9706,,
10,30,,leaf,15,1,14.0,0.4081,0.4081,0.6084,0.9571,0.8733,0.9825,,
10,30,,leaf,20,1,19.0,0.4081,0.4081,0.6216,0.9395,0.8298,0.9874,,
10,30,,leaf,25,1,24.0,0.4081,0.4081,0.6434,0.9104,0.7833,0.9896,,
10,30,,leaf,30,1,29.0,0.4081,0.4081,0.6359,0.8931,0.7443,0.9913,,
10,35,5.0,eom,10,1,9.0,0.1288,0.1288,0.7447,0.9722,0.9098,0.9463,,
10,35,5.0,eom,15,1,14.0,0.1288,0.1288,0.6661,0.9571,0.8835,0.9665,,
10,35,5.0,eom,20,1,19.0,0.1288,0.1288,0.6286,0.9447,0.8237,0.9773,,
10,35,5.0,eom,25,1,24.0,0.1288,0.1288,0.6012,0.9104,0.7642,0.9837,,
10,35,5.0,eom,30,1,29.0,0.1288,0.1288,0.6415,0.8948,0.7235,0.9865,,
10,35,5.0,leaf,10,1,9.0,0.3405,0.3405,0.6806,0.9722,0.9107,0.9629,,
10,35,5.0,leaf,15,1,14.0,0.3405,0.3405,0.6431,0.9464,0.8661,0.9798,,
10,35,5.0,leaf,20,1,19.0,0.3405,0.3405,0.6543,0.9368,0.8347,0.9852,,
10,35,5.0,leaf,25,1,24.0,0.3405,0.3405,0.6333,0.9042,0.7706,0.9885,,
10,35,5.0,leaf,30,1,29.0,0.3405,0.3405,0.62,0.8914,0.7356,0.9903,,
10,35,15.0,eom,10,1,9.0,0.1103,0.1103,0.7173,0.9778,0.9054,0.9484,,
10,35,15.0,eom,15,1,14.0,0.1103,0.1103,0.6664,0.9286,0.8473,0.9662,,
