n_neighbors,min_cluster_size,min_samples,cluster_selection_method,reduce_nr,seed,n_raw,outlier_pre,outlier_post,K,cv,div,excl,frex
10,15,,leaf,25,42,126,0.4198161389172625,0.4198161389172625,24,0.5996143935197802,0.9083333333333333,0.7672497561552403,0.9893061494257559
10,15,,leaf,30,42,126,0.4198161389172625,0.4198161389172625,29,0.5950391915608783,0.8862068965517241,0.7267804160482604,0.9909539522836079
10,15,,eom,10,42,82,0.20951083872432186,0.20951083872432186,9,0.40239693233255075,0.9777777777777777,0.918146230572207,0.9672206032594821
10,15,,eom,15,42,82,0.20951083872432186,0.20951083872432186,14,0.5297006185815933,0.9392857142857143,0.8453865642547839,0.9726102082503852
10,15,,eom,20,42,82,0.20951083872432186,0.20951083872432186,19,0.5983461170174769,0.9157894736842105,0.7962233291424983,0.9796337646516134
10,15,,eom,25,42,82,0.20951083872432186,0.20951083872432186,24,0.5941884362908716,0.9125,0.7795876807086412,0.9848147453756738
10,15,,eom,30,42,82,0.20951083872432186,0.20951083872432186,29,0.6198541200652585,0.8793103448275862,0.7353805164134701,0.9873173466995065
10,15,5.0,leaf,10,42,161,0.3371921461809102,0.3371921461809102,9,0.601013245685344,0.95,0.8756072286709353,0.962406998718276
10,15,5.0,leaf,15,42,161,0.3371921461809102,0.3371921461809102,14,0.630753056609023,0.9285714285714286,0.8279298265493816,0.9775172135682231
10,15,5.0,leaf,20,42,161,0.3371921461809102,0.3371921461809102,19,0.6258995345177192,0.9078947368421053,0.7787211190265092,0.9840985572353
10,15,5.0,leaf,25,42,161,0.3371921461809102,0.3371921461809102,24,0.6302922089410177,0.89375,0.7565747948510353,0.9874828342003031
10,15,5.0,leaf,30,42,161,0.3371921461809102,0.3371921461809102,29,0.6053737296451701,0.8896551724137931,0.7284639952337701,0.9897072858837174
10,15,5.0,eom,10,42,124,0.2289183974577233,0.2289183974577233,9,0.5410858707729223,0.9444444444444444,0.8781624546246456,0.9540097939500983
10,15,5.0,eom,15,42,124,0.2289183974577233,0.2289183974577233,14,0.6052782355570671,0.9214285714285714,0.8268704761100653,0.9730166145367648
10,15,5.0,eom,20,42,124,0.2289183974577233,0.2289183974577233,19,0.6147046944194643,0.8973684210526316,0.778672836191894,0.9814200536771021
10,15,5.0,eom,25,42,124,0.2289183974577233,0.2289183974577233,24,0.5620709530733274,0.88125,0.7381568986773684,0.9850668696212802
10,15,5.0,eom,30,42,124,0.2289183974577233,0.2289183974577233,29,0.6086028204747396,0.8793103448275862,0.7251368037732807,0.9876501761088442
10,15,15.0,leaf,10,42,126,0.4198161389172625,0.4198161389172625,9,0.5238765445003731,0.9111111111111111,0.846465618441484,0.9678040080331297
10,15,15.0,leaf,15,42,126,0.4198161389172625,0.4198161389172625,14,0.6135000302059345,0.9321428571428572,0.8482357922565323,0.9811822195347514
10,15,15.0,leaf,20,42,126,0.4198161389172625,0.4198161389172625,19,0.5496819617906419,0.9052631578947369,0.7786567901783423,0.9866251295178186
10,15,15.0,leaf,25,42,126,0.4198161389172625,0.4198161389172625,24,0.5996143935197802,0.9083333333333333,0.7672497561552403,0.9893061494257559
10,15,15.0,leaf,30,42,126,0.4198161389172625,0.4198161389172625,29,0.5950391915608783,0.8862068965517241,0.7267804160482604,0.9909539522836079
10,15,15.0,eom,10,42,82,0.20951083872432186,0.20951083872432186,9,0.40239693233255075,0.9777777777777777,0.918146230572207,0.9672206032594821
10,15,15.0,eom,15,42,82,0.20951083872432186,0.20951083872432186,14,0.5297006185815933,0.9392857142857143,0.8453865642547839,0.9726102082503852
10,15,15.0,eom,20,42,82,0.20951083872432186,0.20951083872432186,19,0.5983461170174769,0.9157894736842105,0.7962233291424983,0.9796337646516134
10,15,15.0,eom,25,42,82,0.20951083872432186,0.20951083872432186,24,0.5941884362908716,0.9125,0.7795876807086412,0.9848147453756738
10,15,15.0,eom,30,42,82,0.20951083872432186,0.20951083872432186,29,0.6198541200652585,0.8793103448275862,0.7353805164134701,0.9873173466995065
10,25,,leaf,10,42,72,0.42106457836794914,0.42106457836794914,9,0.6647018486561465,0.9666666666666667,0.9089287851736513,0.9713930885154812
10,25,,leaf,15,42,72,0.42106457836794914,0.42106457836794914,14,0.600695699401583,0.95,0.8635903870127668,0.9826401180838787
10,25,,leaf,20,42,72,0.42106457836794914,0.42106457836794914,19,0.6638701573236098,0.9157894736842105,0.8093797485657842,0.9874076140011059
10,25,,leaf,25,42,72,0.42106457836794914,0.42106457836794914,24,0.6686747928307498,0.9104166666666667,0.778021223162538,0.989905094181959
10,25,,leaf,30,42,72,0.42106457836794914,0.42106457836794914,29,0.6786799002441808,0.8844827586206897,0.7381558897054938,0.9914661545502125
10,25,,eom,10,42,45,0.13505844966519123,0.13505844966519123,9,0.7453586794570295,0.9666666666666667,0.8990621420606488,0.9473264714926243
10,25,,eom,15,42,45,0.13505844966519123,0.13505844966519123,14,0.6981708726088556,0.9678571428571429,0.864811877269951,0.9644943605976726
10,25,,eom,20,42,45,0.13505844966519123,0.13505844966519123,19,0.6537404764972411,0.9210526315789473,0.7972572970397672,0.9766892905769482
10,25,,eom,25,42,45,0.13505844966519123,0.13505844966519123,24,0.6554691428240992,0.9145833333333333,0.7794304570532243,0.983118581401484
10,25,,eom,30,42,45,0.13505844966519123,0.13505844966519123,29,0.6421801737357477,0.8913793103448275,0.7323588352486802,0.9864976475051059
