n_neighbors,min_cluster_size,min_samples,cluster_selection_method,reduce_nr,n_seeds,K,outlier_pre,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
15,35,,leaf,20,1,19.0,0.3201,0.3201,0.5351,0.7842,0.4696,0.9804,,
15,35,,leaf,25,1,24.0,0.3201,0.3201,0.5561,0.7812,0.4594,0.9845,,
15,35,,leaf,30,1,29.0,0.3201,0.3201,0.569,0.7862,0.4525,0.9872,,
15,40,,eom,10,1,9.0,0.2239,0.2239,0.5094,0.85,0.5662,0.9514,,
15,40,,eom,15,1,14.0,0.2239,0.2239,0.5141,0.8036,0.4735,0.9698,,
15,40,,eom,20,1,19.0,0.2239,0.2239,0.5465,0.7816,0.447,0.9777,,
15,40,,eom,25,1,24.0,0.2239,0.2239,0.545,0.7688,0.4227,0.9823,,
15,40,,eom,30,1,29.0,0.2239,0.2239,0.5533,0.7552,0.4095,0.9854,,
15,40,,leaf,10,1,9.0,0.3195,0.3195,0.5229,0.8444,0.5737,0.9576,,
15,40,,leaf,15,1,14.0,0.3195,0.3195,0.4992,0.7893,0.4737,0.9732,,
15,40,,leaf,20,1,19.0,0.3195,0.3195,0.5563,0.7947,0.4663,0.9804,,
15,40,,leaf,25,1,24.0,0.3195,0.3195,0.5752,0.7896,0.4585,0.9845,,
15,40,,leaf,30,1,29.0,0.3195,0.3195,0.5783,0.7724,0.447,0.9872,,
20,8,,eom,10,1,9.0,0.2863,0.2863,0.4968,0.8222,0.5544,0.955,,
20,8,,eom,15,1,14.0,0.2863,0.2863,0.5299,0.8214,0.5288,0.9722,,
20,8,,eom,20,1,19.0,0.2863,0.2863,0.5396,0.8132,0.5042,0.9799,,
20,8,,eom,25,1,24.0,0.2863,0.2863,0.5509,0.8,0.5007,0.984,,
20,8,,eom,30,1,29.0,0.2863,0.2863,0.5498,0.8103,0.493,0.9868,,
20,8,,leaf,10,1,9.0,0.3653,0.3653,0.5612,0.8333,0.5649,0.959,,
20,8,,leaf,15,1,14.0,0.3653,0.3653,0.5451,0.8107,0.5237,0.9747,,
20,8,,leaf,20,1,19.0,0.3653,0.3653,0.5338,0.8053,0.5051,0.9818,,
20,8,,leaf,25,1,24.0,0.3653,0.3653,0.5459,0.7958,0.5037,0.9854,,
20,8,,leaf,30,1,29.0,0.3653,0.3653,0.5513,0.7914,0.4936,0.988,,
20,15,,eom,10,1,9.0,0.2547,0.2547,0.4862,0.8222,0.551,0.9537,,
20,15,,eom,15,1,14.0,0.2547,0.2547,0.5101,0.8107,0.514,0.9712,,
20,15,,eom,20,1,19.0,0.2547,0.2547,0.5406,0.8184,0.5166,0.9786,,
20,15,,eom,25,1,24.0,0.2547,0.2547,0.5464,0.8062,0.5081,0.983,,
20,15,,eom,30,1,29.0,0.2547,0.2547,0.5467,0.8155,0.4987,0.986,,
20,15,,leaf,10,1,9.0,0.3373,0.3373,0.4647,0.7944,0.5204,0.9587,,
20,15,,leaf,15,1,14.0,0.3373,0.3373,0.4972,0.8036,0.5026,0.9745,,
20,15,,leaf,20,1,19.0,0.3373,0.3373,0.5429,0.8079,0.5117,0.9813,,
20,15,,leaf,25,1,24.0,0.3373,0.3373,0.539,0.8104,0.4949,0.9851,,
20,15,,leaf,30,1,29.0,0.3373,0.3373,0.5585,0.8121,0.4904,0.9877,,
20,25,,eom,10,1,9.0,0.2478,0.2478,0.5223,0.85,0.5842,0.9535,,
20,25,,eom,15,1,14.0,0.2478,0.2478,0.5162,0.8071,0.523,0.9705,,
20,25,,eom,20,1,19.0,0.2478,0.2478,0.5278,0.7947,0.4907,0.9787,,
20,25,,eom,25,1,24.0,0.2478,0.2478,0.5544,0.7896,0.4866,0.9831,,
20,25,,eom,30,1,29.0,0.2478,0.2478,0.566,0.7724,0.4628,0.986,,
20,25,,leaf,10,1,9.0,0.3189,0.3189,0.5171,0.8222,0.5706,0.9573,,
20,25,,leaf,15,1,14.0,0.3189,0.3189,0.5298,0.8071,0.5169,0.9737,,
20,25,,leaf,20,1,19.0,0.3189,0.3189,0.5244,0.7763,0.4717,0.9805,,
20,25,,leaf,25,1,24.0,0.3189,0.3189,0.5533,0.8,0.4825,0.9846,,
20,25,,leaf,30,1,29.0,0.3189,0.3189,0.5817,0.8017,0.4716,0.9873,,
20,30,,eom,10,1,9.0,0.2383,0.2383,0.4807,0.7667,0.5224,0.9524,,
20,30,,eom,15,1,14.0,0.2383,0.2383,0.5459,0.8107,0.5231,0.9704,,
20,30,,eom,20,1,19.0,0.2383,0.2383,0.5584,0.7816,0.4809,0.9783,,
20,30,,eom,25,1,24.0,0.2383,0.2383,0.5719,0.7729,0.452,0.9829,,
20,30,,eom,30,1,29.0,0.2383,0.2383,0.5738,0.7672,0.4393,0.9859,,
20,30,,leaf,10,1,9.0,0.3157,0.3157,0.5306,0.8444,0.5899,0.958,,
20,30,,leaf,15,1,14.0,0.3157,0.3157,0.5073,0.8071,0.5067,0.9736,,
20,30,,leaf,20,1,19.0,0.3157,0.3157,0.5657,0.7921,0.5053,0.9805,,
20,30,,leaf,25,1,24.0,0.3157,0.3157,0.5777,0.7896,0.4918,0.9847,,
20,30,,leaf,30,1,29.0,0.3157,0.3157,0.5865,0.7897,0.4729,0.9873,,
20,35,,eom,10,1,9.0,0.2302,0.2302,0.5139,0.8389,0.5793,0.9523,,
20,35,,eom,15,1,14.0,0.2302,0.2302,0.5247,0.7857,0.4937,0.9701,,
20,35,,eom,20,1,19.0,0.2302,0.2302,0.548,0.7895,0.4637,0.9782,,
20,35,,eom,25,1,24.0,0.2302,0.2302,0.5695,0.7896,0.4544,0.9829,,
