n_neighbors,min_cluster_size,min_samples,cluster_selection_method,reduce_nr,seed,n_raw,outlier_pre,outlier_post,K,cv,div,excl,frex
15,30,,leaf,20,42,54,0.3039076736181413,0.3039076736181413,19,0.5224790413898163,0.781578947368421,0.45660721480178756,0.9800006589494077
15,30,,leaf,25,42,54,0.3039076736181413,0.3039076736181413,24,0.5522092566309378,0.7875,0.4646505667486016,0.98427563407959
15,30,,leaf,30,42,54,0.3039076736181413,0.3039076736181413,29,0.5629052671146725,0.7793103448275862,0.4381080134092608,0.9869016513259681
15,30,,eom,10,42,44,0.22534926098400485,0.22534926098400485,9,0.5146245372929861,0.8111111111111111,0.5385999825528588,0.9520475962672005
15,30,,eom,15,42,44,0.22534926098400485,0.22534926098400485,14,0.49812764183703845,0.7821428571428571,0.48440550809588334,0.969884053080823
15,30,,eom,20,42,44,0.22534926098400485,0.22534926098400485,19,0.5201457046741973,0.7657894736842106,0.44482318342069493,0.9778984046465264
15,30,,eom,25,42,44,0.22534926098400485,0.22534926098400485,24,0.5411572185477268,0.7708333333333334,0.4354095706437547,0.9824990150516593
15,30,,eom,30,42,44,0.22534926098400485,0.22534926098400485,29,0.5573087596806076,0.7810344827586206,0.44210554748975545,0.985624174005838
15,35,,leaf,10,42,50,0.3201052844705406,0.3201052844705406,9,0.5174018412250677,0.8611111111111112,0.5761864745643376,0.957709753667221
15,35,,leaf,15,42,50,0.3201052844705406,0.3201052844705406,14,0.49323244147117073,0.7964285714285714,0.47843575569584545,0.9733620104757152
15,35,,leaf,20,42,50,0.3201052844705406,0.3201052844705406,19,0.5350518553169871,0.7842105263157895,0.46960201753680997,0.980446512163004
15,35,,leaf,25,42,50,0.3201052844705406,0.3201052844705406,24,0.5560953898795008,0.78125,0.4594428667212718,0.9844963320020756
15,35,,leaf,30,42,50,0.3201052844705406,0.3201052844705406,29,0.5689829853744129,0.7862068965517242,0.45252745742201755,0.9872125378364408
15,35,,eom,10,42,38,0.22190726867787,0.22190726867787,9,0.4746396565800162,0.7888888888888889,0.5086549886337484,0.9519658501126688
15,35,,eom,15,42,38,0.22190726867787,0.22190726867787,14,0.5064750062687898,0.7928571428571428,0.49322053051910203,0.9697301879911028
15,35,,eom,20,42,38,0.22190726867787,0.22190726867787,19,0.5269974609823346,0.7736842105263158,0.44826097741375004,0.9777275574645196
15,35,,eom,25,42,38,0.22190726867787,0.22190726867787,24,0.5502826734607692,0.7854166666666667,0.4456322839598468,0.9824324926035777
15,35,,eom,30,42,38,0.22190726867787,0.22190726867787,29,0.5639275436170214,0.7741379310344828,0.42880119427413105,0.9854435130708512
15,40,,leaf,10,42,42,0.3194978740635756,0.3194978740635756,9,0.5228764344876813,0.8444444444444444,0.5736700410591977,0.9575702242550859
15,40,,leaf,15,42,42,0.3194978740635756,0.3194978740635756,14,0.49920803917354023,0.7892857142857143,0.47369898059434107,0.9732471787635587
15,40,,leaf,20,42,42,0.3194978740635756,0.3194978740635756,19,0.5563400308614239,0.7947368421052632,0.4663058238390821,0.9804308641650925
15,40,,leaf,25,42,42,0.3194978740635756,0.3194978740635756,24,0.5752446402025572,0.7895833333333333,0.45852976473538226,0.984486166654484
15,40,,leaf,30,42,42,0.3194978740635756,0.3194978740635756,29,0.5782896369085513,0.7724137931034483,0.44696104890019134,0.9871786676531871
15,40,,eom,10,42,31,0.22393197003441992,0.22393197003441992,9,0.5094101569188392,0.85,0.566181387985919,0.9513946500006085
15,40,,eom,15,42,31,0.22393197003441992,0.22393197003441992,14,0.5140758856708311,0.8035714285714286,0.47348665845600013,0.9697642320025042
15,40,,eom,20,42,31,0.22393197003441992,0.22393197003441992,19,0.5465235179854631,0.781578947368421,0.446960236101871,0.9777208055449694
15,40,,eom,25,42,31,0.22393197003441992,0.22393197003441992,24,0.5449580313037216,0.76875,0.4226652991253957,0.982321333620186
15,40,,eom,30,42,31,0.22393197003441992,0.22393197003441992,29,0.5532574446837858,0.7551724137931034,0.4094902857428591,0.9853889467555151
20,8,,leaf,10,42,170,0.36525612472160357,0.36525612472160357,9,0.5611616324101036,0.8333333333333334,0.5649013323585597,0.9589810979422134
20,8,,leaf,15,42,170,0.36525612472160357,0.36525612472160357,14,0.5450687745941637,0.8107142857142857,0.5236888161772039,0.9747416213570227
20,8,,leaf,20,42,170,0.36525612472160357,0.36525612472160357,19,0.533794187015383,0.8052631578947368,0.5050615301013556,0.9817724646473688
20,8,,leaf,25,42,170,0.36525612472160357,0.36525612472160357,24,0.545927644935674,0.7958333333333333,0.5036610290841906,0.9854250263365202
20,8,,leaf,30,42,170,0.36525612472160357,0.36525612472160357,29,0.5512816608155668,0.7913793103448276,0.49358188852537227,0.9880048404010233
20,8,,eom,10,42,147,0.28629277181615714,0.28629277181615714,9,0.49681455845453726,0.8222222222222222,0.5543611508679815,0.9549689338030818
20,8,,eom,15,42,147,0.28629277181615714,0.28629277181615714,14,0.5299223209951271,0.8214285714285714,0.5287792427980995,0.9722008680648663
20,8,,eom,20,42,147,0.28629277181615714,0.28629277181615714,19,0.5396192102952464,0.8131578947368421,0.5041612750468321,0.9799335605982027
20,8,,eom,25,42,147,0.28629277181615714,0.28629277181615714,24,0.5508942993943235,0.8,0.5007153246236192,0.9840135365149818
20,8,,eom,30,42,147,0.28629277181615714,0.28629277181615714,29,0.5497651293736696,0.8103448275862069,0.4929550009086743,0.9867927383212602
20,15,,leaf,10,42,103,0.3373152460012148,0.3373152460012148,9,0.46465006555308797,0.7944444444444444,0.520382211667153,0.9586739552976646
20,15,,leaf,15,42,103,0.3373152460012148,0.3373152460012148,14,0.49720389566277384,0.8035714285714286,0.5026392160274802,0.9744812811583937
20,15,,leaf,20,42,103,0.3373152460012148,0.3373152460012148,19,0.5429389980514429,0.8078947368421052,0.511710226835708,0.9812601240290458
20,15,,leaf,25,42,103,0.3373152460012148,0.3373152460012148,24,0.5389896502117922,0.8104166666666667,0.4949173863884755,0.9850922901908729
20,15,,leaf,30,42,103,0.3373152460012148,0.3373152460012148,29,0.5585452641161455,0.8120689655172414,0.49044021847365543,0.987659266540329
20,15,,eom,10,42,91,0.25470743065397855,0.25470743065397855,9,0.4861959669628663,0.8222222222222222,0.5510432228400138,0.9536856213062863
20,15,,eom,15,42,91,0.25470743065397855,0.25470743065397855,14,0.5101280038924249,0.8107142857142857,0.514029732023248,0.9712323610100893
20,15,,eom,20,42,91,0.25470743065397855,0.25470743065397855,19,0.5406021077947841,0.8184210526315789,0.5166053080704871,0.9785635031679929
20,15,,eom,25,42,91,0.25470743065397855,0.25470743065397855,24,0.5463736031464267,0.80625,0.5081428240756473,0.9830474089393338
20,15,,eom,30,42,91,0.25470743065397855,0.25470743065397855,29,0.546693661553606,0.8155172413793104,0.49871485234317764,0.9860147292380593
20,25,,leaf,10,42,63,0.31889046365661067,0.31889046365661067,9,0.5171142938233619,0.8222222222222222,0.5705981818869224,0.957316495140483
20,25,,leaf,15,42,63,0.31889046365661067,0.31889046365661067,14,0.529774867642001,0.8071428571428572,0.5168529574323754,0.9737000353368829
20,25,,leaf,20,42,63,0.31889046365661067,0.31889046365661067,19,0.5243601776560043,0.7763157894736842,0.4716527104559909,0.9804651735709357
20,25,,leaf,25,42,63,0.31889046365661067,0.31889046365661067,24,0.5532574998198692,0.8,0.4825084091694715,0.9845838491783381
20,25,,leaf,30,42,63,0.31889046365661067,0.31889046365661067,29,0.5816578421596439,0.8017241379310345,0.4716066870177187,0.9872991217886249
20,25,,eom,10,42,50,0.24782344604170886,0.24782344604170886,9,0.5222681304992195,0.85,0.5841793727182512,0.9535258280587546
20,25,,eom,15,42,50,0.24782344604170886,0.24782344604170886,14,0.5161722093572315,0.8071428571428572,0.523001069070409,0.9705146949504623
20,25,,eom,20,42,50,0.24782344604170886,0.24782344604170886,19,0.5278213480201176,0.7947368421052632,0.4906563035168563,0.9786592289739605
20,25,,eom,25,42,50,0.24782344604170886,0.24782344604170886,24,0.5543918023066858,0.7895833333333333,0.48659546082319877,0.9831011296702012
20,25,,eom,30,42,50,0.24782344604170886,0.24782344604170886,29,0.5660453729117175,0.7724137931034483,0.4628371208632789,0.9860193300572193
20,30,,leaf,10,42,55,0.3156509414861308,0.3156509414861308,9,0.5306099836001789,0.8444444444444444,0.5898763231844106,0.9579962837003665
