n_neighbors,min_cluster_size,min_samples,reduce_nr,seed,n_raw,outlier_pre,outlier_post,K,cv,div,excl,frex
10,40,,20,42,43,0.2907471148005669,0.0,19,0.42155521348354547,0.6631578947368421,0.34950729949396936,0.9698050075133817
10,40,,25,42,43,0.2907471148005669,0.0,24,0.4594622108723276,0.6625,0.34665782211791757,0.9764223403546728
10,40,,30,42,43,0.2907471148005669,0.0,29,0.5066999785563954,0.6758620689655173,0.35549379431832445,0.9806622461130151
15,8,,10,42,187,0.3290139704393602,0.0,10,0.3412783007068904,0.57,0.31035280846967234,0.9356836124725116
15,8,,15,42,187,0.3290139704393602,0.0,15,0.37151578972090576,0.58,0.3313457215639596,0.9585269287582553
15,8,,20,42,187,0.3290139704393602,0.0,20,0.3921622858848223,0.605,0.347887763459838,0.9689649307016628
15,8,,25,42,187,0.3290139704393602,0.0,25,0.40993100371259117,0.6,0.32139330869673643,0.9754835116946634
15,8,,30,42,187,0.3290139704393602,0.0,30,0.40803656804922245,0.6066666666666667,0.30407904554907433,0.9797539303903737
15,15,,10,42,111,0.3134237699939259,0.0,10,0.3859031497696385,0.56,0.27621476125522854,0.9376377401421498
15,15,,15,42,111,0.3134237699939259,0.0,15,0.4251054450735656,0.59,0.3237654256121466,0.9593039538128664
15,15,,20,42,111,0.3134237699939259,0.0,20,0.4571621134203657,0.5925,0.31572669822687305,0.9697580425410841
15,15,,25,42,111,0.3134237699939259,0.0,25,0.46935429773856724,0.61,0.3334788029193146,0.9761995121478064
15,15,,30,42,111,0.3134237699939259,0.0,30,0.4750000230533232,0.6416666666666667,0.3510086166000378,0.9802482776165015
15,25,,10,42,62,0.30046568131200646,0.0,10,0.3963050808534667,0.585,0.3116689172984729,0.9371820361253456
15,25,,15,42,62,0.30046568131200646,0.0,15,0.41094675585847606,0.5966666666666667,0.306367445684282,0.9598099732423637
15,25,,20,42,62,0.30046568131200646,0.0,20,0.4209896480233118,0.6325,0.31902223400957397,0.9704390241306843
15,25,,25,42,62,0.30046568131200646,0.0,25,0.46530023295894485,0.654,0.3219743940330324,0.9767462656869584
15,25,,30,42,62,0.30046568131200646,0.0,30,0.5006412811202732,0.68,0.33823189736145426,0.98067704839854
15,40,,10,42,42,0.3194978740635756,0.0,10,0.3738901881944272,0.58,0.32110506606194095,0.9401782626446551
15,40,,15,42,42,0.3194978740635756,0.0,15,0.4145524759114264,0.6033333333333334,0.3171700223403526,0.9609700535726363
15,40,,20,42,42,0.3194978740635756,0.0,20,0.44213553051632626,0.6425,0.3337072203867196,0.9713116213877191
15,40,,25,42,42,0.3194978740635756,0.0,24,0.4676961280932875,0.65,0.34557250875909357,0.9763361921119559
15,40,,30,42,42,0.3194978740635756,0.0,29,0.49657376370808004,0.656896551724138,0.33488043066494266,0.980614181510232
20,8,,10,42,170,0.36525612472160357,0.0,10,0.36186874547127473,0.465,0.24495700537616175,0.9363477823288525
20,8,,15,42,170,0.36525612472160357,0.0,15,0.3948289563125033,0.5566666666666666,0.3048874984498403,0.9583428242925724
20,8,,20,42,170,0.36525612472160357,0.0,20,0.37240601131913115,0.575,0.2962229988810331,0.9695088047582539
20,8,,25,42,170,0.36525612472160357,0.0,25,0.37277233949313476,0.6,0.3017144858441972,0.9757112308202645
20,8,,30,42,170,0.36525612472160357,0.0,30,0.38053114832987617,0.6266666666666667,0.2983283868556871,0.9799644114525218
20,15,,10,42,103,0.3373152460012148,0.0,10,0.37711841509286603,0.58,0.2844557519693706,0.9384611575237696
20,15,,15,42,103,0.3373152460012148,0.0,15,0.41210306807267727,0.6033333333333334,0.3109206050526545,0.9601334224703902
20,15,,20,42,103,0.3373152460012148,0.0,19,0.4554006307583605,0.6605263157894737,0.35800844803542825,0.9688232288983691
20,15,,25,42,103,0.3373152460012148,0.0,24,0.4438226351068619,0.6854166666666667,0.3757176735049849,0.9754660224004931
20,15,,30,42,103,0.3373152460012148,0.0,29,0.44506454621525365,0.6982758620689655,0.3753333534898698,0.9797297075297376
20,25,,10,42,63,0.31889046365661067,0.0,10,0.39582470731418873,0.59,0.33476302880194797,0.9366310502514115
20,25,,15,42,63,0.31889046365661067,0.0,15,0.3925520406299811,0.6133333333333333,0.31699548692279506,0.9602156482855536
20,25,,20,42,63,0.31889046365661067,0.0,20,0.4445653491491564,0.665,0.3449193530405317,0.9706723828280867
20,25,,25,42,63,0.31889046365661067,0.0,25,0.44238955301518806,0.678,0.35006133741781825,0.9771699967578065
20,25,,30,42,63,0.31889046365661067,0.0,30,0.44567009850940864,0.7,0.35297990687530195,0.9811105988757867
20,40,,10,42,41,0.3273942093541203,0.0,10,0.39225032196766485,0.645,0.3853616963566305,0.939016327054316
20,40,,15,42,41,0.3273942093541203,0.0,15,0.43484017939158454,0.7133333333333334,0.41241311030523614,0.9614459527133951
20,40,,20,42,41,0.3273942093541203,0.0,20,0.47228586897099467,0.695,0.39548457056297776,0.9714238492643492
20,40,,25,42,41,0.3273942093541203,0.0,24,0.4860725362316143,0.6854166666666667,0.36874071401512226,0.976435957028379
20,40,,30,42,41,0.3273942093541203,0.0,29,0.5216617211361979,0.6931034482758621,0.3699359810083634,0.9805958395807516
